userId,movieId,rating,timestamp
363,1,5.0,1669124855
74,1,5.0,1644713028
376,1,5.0,1527451727
156,1,5.0,1574815222
105,1,5.0,1556564401
396,1,5.0,1546673570
379,1,4.5,1695922610
125,1,5.0,1534958762
69,1,4.5,1601750176
452,1,5.0,1613751207
10,1,4.5,1527812615
195,1,5.0,1544653148
408,1,4.5,1523151417
85,1,5.0,1539673332
486,1,5.0,1668303991
421,1,4.5,1684451800
497,1,4.5,1502640328
31,1,5.0,1525856919
317,1,4.0,1613442790
410,1,4.0,1577498463
492,1,5.0,1697193764
493,1,4.5,1503741196
281,1,4.5,1511720477
357,1,5.0,1618338832
77,1,4.5,1562784216
463,1,5.0,1532425301
499,1,4.5,1546547339
212,1,4.5,1590372540
102,1,5.0,1556294783
335,1,4.5,1693363507
403,1,5.0,1547010676
337,1,5.0,1625430852
442,1,4.5,1608352980
174,1,4.0,1510198499
3,1,5.0,1633796590
334,1,5.0,1577273675
411,1,5.0,1665883132
71,1,5.0,1611586533
210,1,5.0,1544079273
64,1,4.5,1592992904
435,1,5.0,1580954884
94,1,5.0,1557235484
487,1,4.0,1501286643
186,1,4.0,1541869822
34,1,5.0,1661998627
78,1,5.0,1505409861
1,1,4.5,1512831595
12,1,5.0,1575524262
417,1,5.0,1515814828
23,1,4.5,1548763532
73,1,5.0,1573851335
183,1,4.0,1544196734
132,1,5.0,1589630668
412,1,5.0,1605967805
194,1,4.5,1587580056
56,1,3.5,1621848736
149,1,5.0,1548518372
19,1,5.0,1512842659
205,1,5.0,1599204497
79,1,5.0,1677018926
496,1,5.0,1573190814
263,1,5.0,1510986868
324,1,4.5,1695190712
485,1,5.0,1672891082
80,1,4.5,1599471732
40,1,5.0,1617601287
453,1,5.0,1556987271
47,1,4.5,1675459001
239,1,4.5,1658461992
393,1,4.5,1542734307
353,1,4.0,1505562067
342,1,5.0,1673009356
278,1,4.5,1654306093
291,1,5.0,1558842658
318,1,5.0,1685727425
305,1,5.0,1586966281
269,1,5.0,1609164720
70,1,4.5,1507468810
457,1,4.0,1639218773
491,1,5.0,1571572282
155,1,5.0,1633973601
83,1,5.0,1658148712
479,1,4.0,1555229238
173,1,4.5,1518100699
322,1,5.0,1581550308
91,1,5.0,1665875252
181,1,4.5,1517864557
416,1,4.0,1506195200
313,1,5.0,1676707005
279,1,5.0,1513832640
383,1,5.0,1696119899
474,1,5.0,1580197726
454,1,5.0,1587220897
325,1,4.5,1666261173
433,1,5.0,1670430731
348,1,5.0,1516689088
87,1,5.0,1507102173
76,1,5.0,1679606266
440,1,4.5,1623620654
16,1,4.5,1695574678
250,1,5.0,1571209537
387,1,5.0,1609367730
20,1,5.0,1684523489
323,1,5.0,1663584805
333,1,5.0,1622415538
57,1,5.0,1625235646
302,1,5.0,1557597408
230,1,5.0,1644538583
332,1,4.5,1601370985
133,1,5.0,1543558992
138,1,5.0,1535409403
425,1,5.0,1516045907
336,1,5.0,1649951937
26,1,5.0,1569800140
466,1,5.0,1624825546
282,1,4.0,1557395058
248,1,3.5,1595632207
238,1,5.0,1615546206
118,1,5.0,1538660995
43,1,4.5,1642452407
221,1,5.0,1565438362
177,1,4.5,1682784092
321,1,5.0,1656118066
154,1,5.0,1675529362
232,1,4.5,1650835881
228,1,5.0,1636600085
419,1,4.0,1516099248
204,1,4.5,1514677069
127,1,4.0,1627949593
330,1,4.0,1687455534
32,1,4.5,1637343082
114,1,5.0,1697020478
472,1,5.0,1657155630
272,1,5.0,1542758171
141,1,4.5,1657553165
58,1,3.5,1597663674
193,1,5.0,1586787694
25,1,4.5,1637184150
199,2,5.0,1595268888
205,2,4.5,1557696034
372,2,4.5,1530908587
290,2,5.0,1629705394
185,2,5.0,1509004644
339,2,3.5,1624906539
343,2,5.0,1591485680
490,2,5.0,1603960587
77,2,5.0,1692091911
195,2,4.5,1559912158
287,2,5.0,1520515189
80,2,5.0,1552534223
280,2,4.5,1593050123
391,2,5.0,1644780942
458,2,4.5,1692919065
395,2,4.5,1669336878
469,2,4.5,1523387092
45,2,4.0,1653373781
64,2,4.0,1644131569
330,2,5.0,1529061846
341,2,5.0,1637651110
79,2,5.0,1575779042
52,2,5.0,1658946576
3,2,4.0,1608092941
344,2,4.0,1687096876
43,2,5.0,1562076001
98,2,4.5,1515170521
170,2,5.0,1660059574
176,2,5.0,1669613808
379,2,3.5,1664933123
452,2,4.0,1503828433
121,2,5.0,1586621344
312,2,4.5,1695246973
255,2,5.0,1682562241
417,2,5.0,1532339834
99,2,4.5,1540739629
361,2,5.0,1615667420
488,2,4.0,1661476925
166,2,5.0,1593144811
438,2,4.5,1600018552
102,2,4.5,1699101798
191,2,5.0,1596719187
495,2,4.0,1628036268
56,2,5.0,1680913293
61,2,5.0,1620488081
353,2,4.5,1698031293
50,2,3.5,1651780276
418,2,5.0,1693705934
256,2,3.5,1632086923
27,2,4.0,1581242298
21,2,4.5,1517687991
374,2,4.0,1539509310
174,2,4.5,1680534424
269,2,5.0,1510679043
222,2,5.0,1554496748
207,2,5.0,1685412937
373,2,4.5,1657762472
242,2,4.0,1584912633
298,2,4.0,1520521013
250,2,5.0,1635732270
464,2,4.5,1649353491
